user_id,reappeared,w1_events,w1_partners,w1_max_tie,w1_recip_frac,tenure_days,peer_w1_events,peer_w3_frac
1881613856145408514,0,3,1,1,0.0,12,0,0.0
2519094645489664220,0,3,2,2,0.0,26,3,0.0
1433447784513536469,0,3,3,3,0.3333333333333333,29,4,0.0
2001072851779584632,0,3,1,3,1.0,32,1,0.0
2244694855647232833,0,9,3,1,0.0,26,7,0.0
1766212295983104068,0,3,3,1,0.0,33,1,0.0
1972565216067584563,0,3,1,3,0.0,27,0,0.0
2014893796491264314,0,5,4,2,0.0,32,8,0.0
2469211553136640198,0,3,3,2,0.3333333333333333,32,3,0.0
2472348951248896922,0,5,5,1,0.0,25,5,0.0
2419412925677568505,0,3,1,3,0.0,33,0,0.0
1766422766157824476,0,6,0,0,0.0,31,0,0.0
1590914396979200957,0,3,2,2,0.0,26,0,0.0
2204508549545984890,0,3,3,1,0.0,23,0,0.0
2256838749847552567,1,3,3,1,0.0,23,7,0.0
1748062108123136912,0,3,3,1,0.0,29,0,0.0
2534490928840704002,0,4,3,7,0.3333333333333333,29,9,0.0
1663185677451264515,0,3,2,2,0.0,27,0,0.0
2242228906885120261,0,4,4,1,0.0,33,10,0.0
1758161983766528583,0,3,1,1,0.0,34,1,0.0
1902540941688832985,0,3,3,1,0.0,20,0,0.0
1996238253719552972,0,4,4,1,0.0,26,3,0.0
2205476695572480703,0,4,1,1,0.0,29,0,0.0
1463351167156224885,0,3,2,2,0.0,24,0,0.0
2296009153576960363,0,3,3,1,0.0,23,0,0.0
1851512326193152279,0,3,0,0,0.0,30,0,0.0
2527419609120768666,0,3,2,2,0.0,5,4,0.0
1398077722198016116,0,3,0,0,0.0,5,0,0.0
1273342795448320030,0,3,1,3,0.0,32,0,0.0
1791038607851520096,0,5,5,2,0.2,23,4,0.0
2083527147388928918,0,3,2,3,0.5,30,2,0.0
1966322640486400593,0,5,5,2,0.0,33,4,0.0
2277276477554688256,0,3,2,2,0.0,27,0,0.0
1344995114090497003,0,3,6,1,0.0,34,7,0.0
1910574141145088340,0,3,3,1,0.0,24,0,0.0
2437952336560128258,0,3,2,2,0.0,24,0,0.0
1992580376035328942,0,3,3,1,0.0,30,3,0.0
1574323433242624525,0,5,6,3,0.0,31,7,0.16666666666666666
1369136278011904839,0,4,3,4,0.3333333333333333,29,5,0.0
2256305335042048597,0,5,3,3,0.0,26,3,0.0
2037310472323072168,0,3,2,2,0.0,33,0,0.0
1806076362096640550,0,7,5,2,0.0,27,7,0.0
1701199753510912240,0,3,2,2,0.0,26,1,0.0
2163623036190720891,0,6,5,2,0.0,31,0,0.0
2183709809704960317,0,3,3,1,0.0,5,0,0.0
2443926426353664821,0,4,3,2,0.0,32,0,0.0
1672543270338560297,0,3,2,2,0.0,28,1,0.0
1474124597690368711,0,3,1,2,0.0,33,6,0.0
1789183341363200435,0,3,3,1,0.0,21,0,0.0
1798805510946816530,0,3,1,1,0.0,26,4,0.0
2278542243004416133,0,3,3,1,0.0,25,1,0.0
1979388434317312577,0,3,4,1,0.0,21,1,0.0
1968354940157952551,0,4,4,1,0.0,19,2,0.0
1911311835332608002,0,3,1,1,0.0,24,1,0.0
1556148566097920484,1,4,3,2,0.0,26,3,0.0
1295862693101568490,0,3,1,1,0.0,15,1,0.0
2171864289902592704,0,3,1,3,0.0,30,0,0.0
1430152168865792098,0,5,3,5,0.6666666666666666,32,4,0.0
2473642759815168819,0,4,2,2,0.0,23,0,0.0
1657552366469120622,0,4,1,1,0.0,25,0,0.0
1740384812138496040,0,4,3,2,0.0,32,1,0.0
1449363196870656474,0,3,1,3,0.0,30,0,0.0
1632977326964736566,0,3,4,1,0.0,13,2,0.0
2267124634484736932,0,9,2,6,0.5,27,12,0.0
1519034193412096801,0,4,2,1,0.0,28,0,0.0
1758246146670592769,0,5,6,2,0.0,30,19,0.0
2186581448327168147,0,3,5,2,0.0,33,7,0.2
2295234557902848722,0,10,2,23,0.5,31,15,0.0
2100399246934016828,0,4,3,2,0.0,28,0,0.0
1725732732534784357,0,5,2,1,0.0,32,2,0.0
1683685665406976946,0,3,3,1,0.0,26,4,0.0
1554764085067776016,1,3,2,1,0.0,30,0,0.5
2035580112207872360,1,4,1,4,0.0,12,1,0.0
2406881578450944428,0,3,2,2,0.5,21,2,0.0
1768533021163520473,0,3,4,1,0.0,29,2,0.0
1335626397908992161,0,3,2,1,0.0,31,1,0.0
2319271526924288449,0,3,1,3,0.0,31,1,0.0
2127281103306752628,0,3,3,3,0.3333333333333333,26,5,0.0
1902366173429760480,0,4,2,1,0.0,29,1,0.0
2077814572449792372,0,3,1,1,0.0,28,7,0.0
2399348172259328804,0,7,2,5,0.0,23,0,0.0
2483156825407488313,0,3,3,1,0.0,33,3,0.0
1764041819160576334,0,3,2,3,0.5,33,2,0.0
2185610441785344916,0,5,1,1,0.0,31,3,0.0
1828590840709120822,0,4,1,2,0.0,32,1,0.0
1440766492672000641,0,4,3,1,0.0,32,2,0.0
2045428086341632382,0,4,1,2,0.0,25,2,0.0
1601904832413696084,0,3,2,2,0.0,6,4,0.0
1944750118666240417,0,4,4,1,0.0,32,2,0.0
2012454909378560773,0,3,1,1,0.0,14,0,0.0
2139491653386240779,0,3,1,3,0.0,28,0,0.0
2002982954598400939,0,3,2,2,0.0,32,2,0.0
2040005908234240600,0,3,4,1,0.0,31,4,0.0
2184576260636672545,0,3,2,1,0.0,25,1,0.0
1808298630184960372,0,3,0,0,0.0,30,0,0.0
1614729403432960081,0,3,1,3,0.0,28,0,0.0
1655461489147904489,0,3,1,1,0.0,14,0,0.0
1492426594189312643,0,3,2,2,0.0,25,2,0.0
2034146557820928548,0,3,3,1,0.0,31,0,0.0
2045263359246336913,0,3,2,1,0.0,9,1,0.0
1442083579625472459,0,4,1,4,0.0,23,0,0.0
1996887037050880840,0,3,3,1,0.0,31,1,0.0
1923566517878784875,0,5,5,2,0.0,33,6,0.0
1622592272203776163,0,3,1,1,0.0,14,0,0.0
1706641804230656190,0,3,2,2,0.0,29,3,0.0
2048989318873088991,0,3,4,1,0.0,33,6,0.0
1878015101370368538,0,3,0,0,0.0,27,0,0.0
2322194470273024570,0,4,3,4,0.3333333333333333,33,4,0.0
2057649675829248743,0,3,2,2,0.0,13,2,0.0
1311642822377472015,0,3,1,1,0.0,27,0,0.0
1961900854214656407,0,3,2,1,0.0,27,4,0.0
2003988144717824623,0,5,3,2,0.0,24,0,0.0
1878588261400576980,0,3,1,1,0.0,26,1,1.0
2417656963530752815,0,3,2,3,1.0,24,3,0.0
2241050970161152365,1,5,5,2,0.0,25,3,0.0
2407636997767168940,0,3,1,3,0.0,22,0,0.0
2187492535042048820,0,3,2,2,0.0,32,0,0.0
2383590784499712790,0,3,2,2,0.0,22,0,0.0
2125732155228160721,0,3,4,1,0.0,33,4,0.25
2029250756476928411,0,3,3,1,0.0,21,0,0.0
1727682245033984760,0,3,2,3,0.5,34,2,0.0
2382930978537472333,0,4,2,3,0.0,20,2,0.0
900084904493056694,0,3,1,2,0.0,27,0,0.0
2071975723794432846,0,3,1,4,1.0,31,1,0.0
1703802335920128939,0,3,1,1,0.0,6,2,0.0
1612722739347456111,0,3,3,1,0.0,32,1,0.0
2342956644171776061,0,3,1,4,1.0,23,1,0.0
1342129632706560667,0,3,1,1,0.0,30,3,0.0
2022810293633024983,0,3,3,2,0.3333333333333333,33,3,0.0
1314723547054080494,0,3,3,1,0.0,27,4,0.0
1757614325104640235,0,3,2,2,0.0,26,1,0.0
1459789078986752794,0,4,1,4,0.0,24,1,0.0
1536306790268928914,0,5,0,0,0.0,22,0,0.0
2291627901059072461,0,3,0,0,0.0,27,0,0.0
1179387122679808634,0,4,2,2,0.5,29,2,0.0
1758969496338432409,0,3,1,3,0.0,8,0,0.0
2424164451352576784,0,3,2,2,0.0,20,0,0.0
1758353990615040620,0,3,3,1,0.0,32,5,0.0
1542034598920192938,0,3,4,1,0.0,22,6,0.0
2307615170232320779,0,5,2,4,0.0,32,0,0.0
1955433514270720264,0,3,3,1,0.0,29,0,0.0
1888135235502080589,0,3,2,2,0.0,22,0,0.0
1642388816658432069,0,3,1,1,0.0,27,0,0.0
1755571564838912514,0,3,2,1,0.0,23,8,0.0
1990265178947584805,0,3,0,0,0.0,31,0,0.0
2042309948473344179,0,3,3,1,0.0,19,1,0.0
2209615425044480748,0,5,4,1,0.0,26,2,0.0
1911720150827008311,0,3,3,1,0.0,27,1,0.0
1436550646726656867,0,3,0,0,0.0,1,0,0.0
2180107565268992488,0,3,2,2,0.0,20,0,0.0
2280130776924160270,0,3,2,2,0.0,19,2,0.0
2151248564322304191,0,3,2,2,0.5,32,6,0.0
1485546819944448716,0,4,1,1,0.0,23,1,0.0
2051770511523840318,0,3,3,2,0.0,27,1,0.0
2113558758293504816,0,3,3,1,0.0,19,0,0.0
2305561362169856781,0,3,2,5,0.5,30,4,0.0
1554040089477120307,0,3,1,3,0.0,12,0,0.0
1766212757356544428,0,4,3,1,0.0,34,2,0.0
2491820613304320782,0,8,1,10,1.0,33,3,0.0
1421366905536512002,0,3,1,1,0.0,12,0,0.0
2458494301110272978,0,5,2,2,0.0,20,1,0.0
2206722957508608685,0,3,2,2,0.0,24,1,0.0
1969158577192960128,0,3,1,1,0.0,29,2,0.0
1623141935742976100,0,3,2,2,0.0,13,1,0.0
1191383754866688645,0,3,2,1,0.0,23,7,0.0
1276264857993216107,0,5,3,2,0.0,33,1,0.0
2062509238386688091,1,3,2,1,0.0,27,3,0.0
2315204872372224360,0,4,4,3,0.5,29,6,0.0
1479104553549824609,0,4,2,1,0.0,33,0,0.0
2386435084648448484,0,3,1,3,0.0,28,0,0.0
