user_id,seed_type,degree_in_subset,sent_events
1815514015858688155,pattern02,2,4
2477365221392385019,pattern02,7,6
1713173593849856356,pattern02,1,5
2233018391461888389,pattern02,2,3
2250327285825536165,pattern02,3,5
1751330553069568362,pattern02,1,3
2201884861399040413,pattern02,2,3
2111343687630848401,pattern02,2,5
1747383729782784854,pattern02,5,3
1523474216517632897,pattern02,1,4
2308274892308480534,pattern02,3,4
1771127760224256441,pattern02,4,4
2552531695697920704,pattern02,1,3
2124505329696768536,pattern02,2,5
2046084268425216035,pattern02,1,6
2232700186394624543,pattern02,2,3
2043864617582592090,pattern02,1,3
2103404516081664055,pattern02,2,3
2277804674646016754,pattern02,2,3
2002958115930112617,pattern02,3,5
1658336885866496717,pattern02,2,4
2169805440286720863,pattern02,1,4
2119184192372736417,pattern02,1,3
1751075245785088010,pattern02,3,4
2076619732680704077,pattern02,1,3
2041614885191680624,pattern02,3,4
2075533466664960191,pattern02,2,3
2061690778681344629,pattern02,3,4
2087967287934976056,pattern02,7,3
2077239860527104953,pattern02,2,3
2277279161909248467,pattern02,1,4
2048123832631296544,pattern02,2,4
1883430727974912181,pattern02,1,3
2199715634479104085,pattern02,1,3
1272675817226240125,pattern02,2,3
1958303106072576239,pattern02,5,8
2281630467096576563,pattern02,1,5
2142281737961472845,pattern02,2,3
2043129104433152836,pattern02,3,11
1432083603914752645,pattern02,1,3
2225104780001280032,pattern02,1,3
2270230927638528275,pattern02,3,5
1837169576509440186,pattern02,1,3
1978367649775616481,pattern02,4,7
2516510895505408333,pattern02,7,19
2010746099597312930,pattern02,3,5
2180818273304576989,pattern02,1,3
2267724931661824849,pattern02,3,4
1735343552331776750,pattern02,1,4
1534228823015424512,pattern02,2,5
2290003715555328745,pattern02,3,3
2289771292393472987,pattern02,3,5
2362199540498432269,pattern02,2,3
2167743017123840485,pattern02,3,3
1813393853906944121,pattern02,3,5
2195460479516672231,pattern02,2,4
1960365311131648934,pattern02,2,4
2282864154509312537,pattern02,4,4
2497304690950144312,pattern02,3,3
1779366665125888804,pattern02,1,3
1919258640515072436,pattern02,2,3
2525840671768576689,pattern02,1,3
2260612365156352264,pattern02,1,6
1833734902906880288,pattern02,1,3
2256838749847552567,pattern02,2,5
2120210244960257013,pattern02,3,5
1917709465944064823,pattern02,1,4
2424441921339392909,pattern02,1,4
1506840034672640710,pattern02,2,3
2091757370081280526,pattern02,5,4
1643095514939392661,pattern02,2,4
2044748055445504056,pattern02,2,3
1820683428429824682,pattern02,5,6
1952027051556864727,pattern02,1,5
2271295559434240092,pattern02,3,6
1530572220399616454,pattern02,1,5
2037075037650944536,pattern02,1,3
1681475602743296470,pattern02,1,4
1854135787847680475,pattern02,4,3
2232080452812800411,pattern02,1,3
2496663407034368422,pattern02,2,5
1751160071389184196,pattern02,1,3
1795431352762368897,pattern02,1,3
2125862119931904074,pattern02,1,3
2425878571122688441,pattern02,1,3
2317886248976384579,pattern02,1,3
1775503216214016643,pattern02,3,3
2268958870732800796,pattern02,1,3
2042338855616512558,pattern02,1,3
2203194239221760413,pattern02,2,5
1774143095701504531,pattern02,1,3
2057395215794176762,pattern02,2,5
1775020342771712881,pattern02,9,3
2019969306984449018,pattern02,2,4
2099704292704256293,pattern02,1,3
2171194887372800080,pattern02,1,4
2012609687584768848,pattern02,2,4
1896881575690240382,pattern02,1,5
2059003152564224267,pattern02,2,4
2136626717261824642,pattern02,1,4
1803975577829376890,pattern02,2,3
2243379052150784492,pattern02,1,4
2291697828495360276,pattern02,2,3
1825523688800256206,pattern02,3,5
2309270821404672516,pattern02,1,3
1641632055164928984,pattern02,11,5
1891677694328832805,pattern02,2,3
1717534688542720955,pattern02,1,3
1651740898230272702,pattern02,3,4
1980587124457472203,pattern02,6,4
2295978400940032511,pattern02,1,4
2164338483789824028,pattern02,4,4
2050302110859264231,pattern02,3,3
2290391118249985004,pattern02,2,4
2326551236444160719,pattern02,1,3
2260255178227712649,pattern02,2,4
2395468382339072044,pattern02,3,3
1279462150766593022,pattern02,2,3
1640139998625792708,pattern02,2,4
1631631408365568097,pattern02,1,4
2023396321787904468,pattern02,1,4
2203183459860480585,pattern02,1,4
2204053475950592284,pattern02,1,4
2127302242598912651,pattern02,7,14
